事件日期,社會住宅,遞補類型,房型,戶別,事件類型,前次數值,本次數值,變動量,事件描述
2026-07-09,南屯建功2、3號,隨到隨辦,三房型,一般戶,待遞補人數變化,72,70,-2,南屯建功2、3號／隨到隨辦／三房型／一般戶 待遞補人數減少 2 人
2026-07-09,南屯建功2、3號,隨到隨辦,三房型,關懷戶,名冊總人數變化,154,161,7,南屯建功2、3號／隨到隨辦／三房型／關懷戶 名冊總人數增加 7 人
2026-07-09,南屯建功2、3號,隨到隨辦,三房型,關懷戶,待遞補人數變化,141,148,7,南屯建功2、3號／隨到隨辦／三房型／關懷戶 待遞補人數增加 7 人
2026-07-09,南屯建功2、3號,隨到隨辦,二房型,一般戶,名冊總人數變化,274,293,19,南屯建功2、3號／隨到隨辦／二房型／一般戶 名冊總人數增加 19 人
2026-07-09,南屯建功2、3號,隨到隨辦,二房型,一般戶,已遞補人數變化,2,3,1,南屯建功2、3號／隨到隨辦／二房型／一般戶 已遞補人數增加 1 人
2026-07-09,南屯建功2、3號,隨到隨辦,二房型,一般戶,待遞補人數變化,258,276,18,南屯建功2、3號／隨到隨辦／二房型／一般戶 待遞補人數增加 18 人
2026-07-09,南屯建功2、3號,隨到隨辦,二房型,關懷戶,名冊總人數變化,167,180,13,南屯建功2、3號／隨到隨辦／二房型／關懷戶 名冊總人數增加 13 人
2026-07-09,南屯建功2、3號,隨到隨辦,二房型,關懷戶,已放棄人數變化,16,19,3,南屯建功2、3號／隨到隨辦／二房型／關懷戶 已放棄人數增加 3 人
2026-07-09,南屯建功2、3號,隨到隨辦,二房型,關懷戶,待遞補人數變化,147,157,10,南屯建功2、3號／隨到隨辦／二房型／關懷戶 待遞補人數增加 10 人
2026-07-09,南屯精科,隨到隨辦,一房型,一般戶,名冊總人數變化,2847,2867,20,南屯精科／隨到隨辦／一房型／一般戶 名冊總人數增加 20 人
2026-07-09,南屯精科,隨到隨辦,一房型,一般戶,已放棄人數變化,646,658,12,南屯精科／隨到隨辦／一房型／一般戶 已放棄人數增加 12 人
2026-07-09,南屯精科,隨到隨辦,一房型,一般戶,已遞補人數變化,764,904,140,南屯精科／隨到隨辦／一房型／一般戶 已遞補人數增加 140 人
2026-07-09,南屯精科,隨到隨辦,一房型,一般戶,待遞補人數變化,1437,1304,-133,南屯精科／隨到隨辦／一房型／一般戶 待遞補人數減少 133 人
2026-07-09,南屯精科,隨到隨辦,一房型,關懷戶,名冊總人數變化,733,743,10,南屯精科／隨到隨辦／一房型／關懷戶 名冊總人數增加 10 人
2026-07-09,南屯精科,隨到隨辦,一房型,關懷戶,已放棄人數變化,153,156,3,南屯精科／隨到隨辦／一房型／關懷戶 已放棄人數增加 3 人
2026-07-09,南屯精科,隨到隨辦,一房型,關懷戶,待遞補人數變化,353,360,7,南屯精科／隨到隨辦／一房型／關懷戶 待遞補人數增加 7 人
2026-07-09,南屯精科,隨到隨辦,三房型,一般戶,名冊總人數變化,384,383,-1,南屯精科／隨到隨辦／三房型／一般戶 名冊總人數減少 1 人
2026-07-09,南屯精科,隨到隨辦,三房型,一般戶,已遞補人數變化,136,142,6,南屯精科／隨到隨辦／三房型／一般戶 已遞補人數增加 6 人
2026-07-09,南屯精科,隨到隨辦,三房型,一般戶,待遞補人數變化,144,137,-7,南屯精科／隨到隨辦／三房型／一般戶 待遞補人數減少 7 人
2026-07-09,南屯精科,隨到隨辦,三房型,關懷戶,名冊總人數變化,433,432,-1,南屯精科／隨到隨辦／三房型／關懷戶 名冊總人數減少 1 人
2026-07-09,南屯精科,隨到隨辦,三房型,關懷戶,已放棄人數變化,91,94,3,南屯精科／隨到隨辦／三房型／關懷戶 已放棄人數增加 3 人
2026-07-09,南屯精科,隨到隨辦,三房型,關懷戶,已遞補人數變化,87,90,3,南屯精科／隨到隨辦／三房型／關懷戶 已遞補人數增加 3 人
2026-07-09,南屯精科,隨到隨辦,三房型,關懷戶,待遞補人數變化,255,248,-7,南屯精科／隨到隨辦／三房型／關懷戶 待遞補人數減少 7 人
2026-07-09,南屯精科,隨到隨辦,二房型,一般戶,名冊總人數變化,1145,1147,2,南屯精科／隨到隨辦／二房型／一般戶 名冊總人數增加 2 人
2026-07-09,南屯精科,隨到隨辦,二房型,一般戶,已放棄人數變化,246,247,1,南屯精科／隨到隨辦／二房型／一般戶 已放棄人數增加 1 人
2026-07-09,南屯精科,隨到隨辦,二房型,一般戶,已遞補人數變化,128,141,13,南屯精科／隨到隨辦／二房型／一般戶 已遞補人數增加 13 人
2026-07-09,南屯精科,隨到隨辦,二房型,一般戶,待遞補人數變化,771,759,-12,南屯精科／隨到隨辦／二房型／一般戶 待遞補人數減少 12 人
2026-07-09,南屯精科,隨到隨辦,二房型,關懷戶,名冊總人數變化,676,687,11,南屯精科／隨到隨辦／二房型／關懷戶 名冊總人數增加 11 人
2026-07-09,南屯精科,隨到隨辦,二房型,關懷戶,已放棄人數變化,134,135,1,南屯精科／隨到隨辦／二房型／關懷戶 已放棄人數增加 1 人
2026-07-09,南屯精科,隨到隨辦,二房型,關懷戶,待遞補人數變化,437,447,10,南屯精科／隨到隨辦／二房型／關懷戶 待遞補人數增加 10 人
